question,source,sql
how many food_type0 restaurants are there in the region0 ?,restaurants,"SELECT COUNT( * ) FROM GEOGRAPHIC AS GEOGRAPHICalias0 , RESTAURANT AS RESTAURANTalias0 WHERE GEOGRAPHICalias0.REGION = ""region0"" AND RESTAURANTalias0.CITY_NAME = GEOGRAPHICalias0.CITY_NAME AND RESTAURANTalias0.FOOD_TYPE = ""food_type0"" ;"
how many places for food_type0 food are there in the region0 ?,restaurants,"SELECT COUNT( * ) FROM GEOGRAPHIC AS GEOGRAPHICalias0 , RESTAURANT AS RESTAURANTalias0 WHERE GEOGRAPHICalias0.REGION = ""region0"" AND RESTAURANTalias0.CITY_NAME = GEOGRAPHICalias0.CITY_NAME AND RESTAURANTalias0.FOOD_TYPE = ""food_type0"" ;"
how many food_type0 places are there in the region0 ?,restaurants,"SELECT COUNT( * ) FROM GEOGRAPHIC AS GEOGRAPHICalias0 , RESTAURANT AS RESTAURANTalias0 WHERE GEOGRAPHICalias0.REGION = ""region0"" AND RESTAURANTalias0.CITY_NAME = GEOGRAPHICalias0.CITY_NAME AND RESTAURANTalias0.FOOD_TYPE = ""food_type0"" ;"
how many places for food_type0 are there in the region0 ?,restaurants,"SELECT COUNT( * ) FROM GEOGRAPHIC AS GEOGRAPHICalias0 , RESTAURANT AS RESTAURANTalias0 WHERE GEOGRAPHICalias0.REGION = ""region0"" AND RESTAURANTalias0.CITY_NAME = GEOGRAPHICalias0.CITY_NAME AND RESTAURANTalias0.FOOD_TYPE = ""food_type0"" ;"
how many name0 are there in county0 ?,restaurants,"SELECT COUNT( * ) FROM GEOGRAPHIC AS GEOGRAPHICalias0 , RESTAURANT AS RESTAURANTalias0 WHERE GEOGRAPHICalias0.COUNTY = ""county0"" AND RESTAURANTalias0.CITY_NAME = GEOGRAPHICalias0.CITY_NAME AND RESTAURANTalias0.NAME = ""name0"" ;"
how many name0 are there in county0 ?,restaurants,"SELECT COUNT( * ) FROM GEOGRAPHIC AS GEOGRAPHICalias0 , RESTAURANT AS RESTAURANTalias0 WHERE GEOGRAPHICalias0.COUNTY = ""county0"" AND RESTAURANTalias0.CITY_NAME = GEOGRAPHICalias0.CITY_NAME AND RESTAURANTalias0.NAME = ""name0"" ;"
how many name0 are there in county0 ?,restaurants,"SELECT COUNT( * ) FROM GEOGRAPHIC AS GEOGRAPHICalias0 , RESTAURANT AS RESTAURANTalias0 WHERE GEOGRAPHICalias0.COUNTY = ""county0"" AND RESTAURANTalias0.CITY_NAME = GEOGRAPHICalias0.CITY_NAME AND RESTAURANTalias0.NAME = ""name0"" ;"
where is name0 ?,restaurants,"SELECT LOCATIONalias0.HOUSE_NUMBER , RESTAURANTalias0.NAME FROM LOCATION AS LOCATIONalias0 , RESTAURANT AS RESTAURANTalias0 WHERE RESTAURANTalias0.ID = LOCATIONalias0.RESTAURANT_ID AND RESTAURANTalias0.NAME = ""name0"" ;"
where is name0 ?,restaurants,"SELECT LOCATIONalias0.HOUSE_NUMBER , RESTAURANTalias0.NAME FROM LOCATION AS LOCATIONalias0 , RESTAURANT AS RESTAURANTalias0 WHERE RESTAURANTalias0.ID = LOCATIONalias0.RESTAURANT_ID AND RESTAURANTalias0.NAME = ""name0"" ;"
where is name0 ?,restaurants,"SELECT LOCATIONalias0.HOUSE_NUMBER , RESTAURANTalias0.NAME FROM LOCATION AS LOCATIONalias0 , RESTAURANT AS RESTAURANTalias0 WHERE RESTAURANTalias0.ID = LOCATIONalias0.RESTAURANT_ID AND RESTAURANTalias0.NAME = ""name0"" ;"
what is the best food_type0 restaurant in city_name0 ?,restaurants,"SELECT LOCATIONalias0.HOUSE_NUMBER , RESTAURANTalias0.NAME FROM LOCATION AS LOCATIONalias0 , RESTAURANT AS RESTAURANTalias0 WHERE LOCATIONalias0.CITY_NAME = ""city_name0"" AND RESTAURANTalias0.FOOD_TYPE = ""food_type0"" AND RESTAURANTalias0.ID = LOCATIONalias0.RESTAURANT_ID AND RESTAURANTalias0.RATING = ( SELECT MAX( RESTAURANTalias1.RATING ) FROM LOCATION AS LOCATIONalias1 , RESTAURANT AS RESTAURANTalias1 WHERE LOCATIONalias1.CITY_NAME = ""city_name0"" AND RESTAURANTalias1.FOOD_TYPE = ""food_type0"" AND RESTAURANTalias1.ID = LOCATIONalias1.RESTAURANT_ID ) ;"
What is the best food_type0 in city_name0 ?,restaurants,"SELECT LOCATIONalias0.HOUSE_NUMBER , RESTAURANTalias0.NAME FROM LOCATION AS LOCATIONalias0 , RESTAURANT AS RESTAURANTalias0 WHERE LOCATIONalias0.CITY_NAME = ""city_name0"" AND RESTAURANTalias0.FOOD_TYPE = ""food_type0"" AND RESTAURANTalias0.ID = LOCATIONalias0.RESTAURANT_ID AND RESTAURANTalias0.RATING = ( SELECT MAX( RESTAURANTalias1.RATING ) FROM LOCATION AS LOCATIONalias1 , RESTAURANT AS RESTAURANTalias1 WHERE LOCATIONalias1.CITY_NAME = ""city_name0"" AND RESTAURANTalias1.FOOD_TYPE = ""food_type0"" AND RESTAURANTalias1.ID = LOCATIONalias1.RESTAURANT_ID ) ;"
What is the best place in city_name0 for food_type0 food ?,restaurants,"SELECT LOCATIONalias0.HOUSE_NUMBER , RESTAURANTalias0.NAME FROM LOCATION AS LOCATIONalias0 , RESTAURANT AS RESTAURANTalias0 WHERE LOCATIONalias0.CITY_NAME = ""city_name0"" AND RESTAURANTalias0.FOOD_TYPE = ""food_type0"" AND RESTAURANTalias0.ID = LOCATIONalias0.RESTAURANT_ID AND RESTAURANTalias0.RATING = ( SELECT MAX( RESTAURANTalias1.RATING ) FROM LOCATION AS LOCATIONalias1 , RESTAURANT AS RESTAURANTalias1 WHERE LOCATIONalias1.CITY_NAME = ""city_name0"" AND RESTAURANTalias1.FOOD_TYPE = ""food_type0"" AND RESTAURANTalias1.ID = LOCATIONalias1.RESTAURANT_ID ) ;"
Give me the best place in city_name0 for food_type0 food ?,restaurants,"SELECT LOCATIONalias0.HOUSE_NUMBER , RESTAURANTalias0.NAME FROM LOCATION AS LOCATIONalias0 , RESTAURANT AS RESTAURANTalias0 WHERE LOCATIONalias0.CITY_NAME = ""city_name0"" AND RESTAURANTalias0.FOOD_TYPE = ""food_type0"" AND RESTAURANTalias0.ID = LOCATIONalias0.RESTAURANT_ID AND RESTAURANTalias0.RATING = ( SELECT MAX( RESTAURANTalias1.RATING ) FROM LOCATION AS LOCATIONalias1 , RESTAURANT AS RESTAURANTalias1 WHERE LOCATIONalias1.CITY_NAME = ""city_name0"" AND RESTAURANTalias1.FOOD_TYPE = ""food_type0"" AND RESTAURANTalias1.ID = LOCATIONalias1.RESTAURANT_ID ) ;"
Where is the best food_type0 in city_name0 ?,restaurants,"SELECT LOCATIONalias0.HOUSE_NUMBER , RESTAURANTalias0.NAME FROM LOCATION AS LOCATIONalias0 , RESTAURANT AS RESTAURANTalias0 WHERE LOCATIONalias0.CITY_NAME = ""city_name0"" AND RESTAURANTalias0.FOOD_TYPE = ""food_type0"" AND RESTAURANTalias0.ID = LOCATIONalias0.RESTAURANT_ID AND RESTAURANTalias0.RATING = ( SELECT MAX( RESTAURANTalias1.RATING ) FROM LOCATION AS LOCATIONalias1 , RESTAURANT AS RESTAURANTalias1 WHERE LOCATIONalias1.CITY_NAME = ""city_name0"" AND RESTAURANTalias1.FOOD_TYPE = ""food_type0"" AND RESTAURANTalias1.ID = LOCATIONalias1.RESTAURANT_ID ) ;"
Give me the best food_type0 in city_name0 ?,restaurants,"SELECT LOCATIONalias0.HOUSE_NUMBER , RESTAURANTalias0.NAME FROM LOCATION AS LOCATIONalias0 , RESTAURANT AS RESTAURANTalias0 WHERE LOCATIONalias0.CITY_NAME = ""city_name0"" AND RESTAURANTalias0.FOOD_TYPE = ""food_type0"" AND RESTAURANTalias0.ID = LOCATIONalias0.RESTAURANT_ID AND RESTAURANTalias0.RATING = ( SELECT MAX( RESTAURANTalias1.RATING ) FROM LOCATION AS LOCATIONalias1 , RESTAURANT AS RESTAURANTalias1 WHERE LOCATIONalias1.CITY_NAME = ""city_name0"" AND RESTAURANTalias1.FOOD_TYPE = ""food_type0"" AND RESTAURANTalias1.ID = LOCATIONalias1.RESTAURANT_ID ) ;"
Where is the best food_type0 restaurant in city_name0 ?,restaurants,"SELECT LOCATIONalias0.HOUSE_NUMBER , RESTAURANTalias0.NAME FROM LOCATION AS LOCATIONalias0 , RESTAURANT AS RESTAURANTalias0 WHERE LOCATIONalias0.CITY_NAME = ""city_name0"" AND RESTAURANTalias0.FOOD_TYPE = ""food_type0"" AND RESTAURANTalias0.ID = LOCATIONalias0.RESTAURANT_ID AND RESTAURANTalias0.RATING = ( SELECT MAX( RESTAURANTalias1.RATING ) FROM LOCATION AS LOCATIONalias1 , RESTAURANT AS RESTAURANTalias1 WHERE LOCATIONalias1.CITY_NAME = ""city_name0"" AND RESTAURANTalias1.FOOD_TYPE = ""food_type0"" AND RESTAURANTalias1.ID = LOCATIONalias1.RESTAURANT_ID ) ;"
Give me the best restaurant in city_name0 for food_type0 food ?,restaurants,"SELECT LOCATIONalias0.HOUSE_NUMBER , RESTAURANTalias0.NAME FROM LOCATION AS LOCATIONalias0 , RESTAURANT AS RESTAURANTalias0 WHERE LOCATIONalias0.CITY_NAME = ""city_name0"" AND RESTAURANTalias0.FOOD_TYPE = ""food_type0"" AND RESTAURANTalias0.ID = LOCATIONalias0.RESTAURANT_ID AND RESTAURANTalias0.RATING = ( SELECT MAX( RESTAURANTalias1.RATING ) FROM LOCATION AS LOCATIONalias1 , RESTAURANT AS RESTAURANTalias1 WHERE LOCATIONalias1.CITY_NAME = ""city_name0"" AND RESTAURANTalias1.FOOD_TYPE = ""food_type0"" AND RESTAURANTalias1.ID = LOCATIONalias1.RESTAURANT_ID ) ;"
Give me the best food_type0 restaurant in city_name0 ?,restaurants,"SELECT LOCATIONalias0.HOUSE_NUMBER , RESTAURANTalias0.NAME FROM LOCATION AS LOCATIONalias0 , RESTAURANT AS RESTAURANTalias0 WHERE LOCATIONalias0.CITY_NAME = ""city_name0"" AND RESTAURANTalias0.FOOD_TYPE = ""food_type0"" AND RESTAURANTalias0.ID = LOCATIONalias0.RESTAURANT_ID AND RESTAURANTalias0.RATING = ( SELECT MAX( RESTAURANTalias1.RATING ) FROM LOCATION AS LOCATIONalias1 , RESTAURANT AS RESTAURANTalias1 WHERE LOCATIONalias1.CITY_NAME = ""city_name0"" AND RESTAURANTalias1.FOOD_TYPE = ""food_type0"" AND RESTAURANTalias1.ID = LOCATIONalias1.RESTAURANT_ID ) ;"
What is the best restaurant in city_name0 for food_type0 food ?,restaurants,"SELECT LOCATIONalias0.HOUSE_NUMBER , RESTAURANTalias0.NAME FROM LOCATION AS LOCATIONalias0 , RESTAURANT AS RESTAURANTalias0 WHERE LOCATIONalias0.CITY_NAME = ""city_name0"" AND RESTAURANTalias0.FOOD_TYPE = ""food_type0"" AND RESTAURANTalias0.ID = LOCATIONalias0.RESTAURANT_ID AND RESTAURANTalias0.RATING = ( SELECT MAX( RESTAURANTalias1.RATING ) FROM LOCATION AS LOCATIONalias1 , RESTAURANT AS RESTAURANTalias1 WHERE LOCATIONalias1.CITY_NAME = ""city_name0"" AND RESTAURANTalias1.FOOD_TYPE = ""food_type0"" AND RESTAURANTalias1.ID = LOCATIONalias1.RESTAURANT_ID ) ;"
Where is the best restaurant in city_name0 for food_type0 food ?,restaurants,"SELECT LOCATIONalias0.HOUSE_NUMBER , RESTAURANTalias0.NAME FROM LOCATION AS LOCATIONalias0 , RESTAURANT AS RESTAURANTalias0 WHERE LOCATIONalias0.CITY_NAME = ""city_name0"" AND RESTAURANTalias0.FOOD_TYPE = ""food_type0"" AND RESTAURANTalias0.ID = LOCATIONalias0.RESTAURANT_ID AND RESTAURANTalias0.RATING = ( SELECT MAX( RESTAURANTalias1.RATING ) FROM LOCATION AS LOCATIONalias1 , RESTAURANT AS RESTAURANTalias1 WHERE LOCATIONalias1.CITY_NAME = ""city_name0"" AND RESTAURANTalias1.FOOD_TYPE = ""food_type0"" AND RESTAURANTalias1.ID = LOCATIONalias1.RESTAURANT_ID ) ;"
what is the best food_type0 restaurant in city_name0 ?,restaurants,"SELECT LOCATIONalias0.HOUSE_NUMBER , RESTAURANTalias0.NAME FROM LOCATION AS LOCATIONalias0 , RESTAURANT AS RESTAURANTalias0 WHERE LOCATIONalias0.CITY_NAME = ""city_name0"" AND RESTAURANTalias0.FOOD_TYPE = ""food_type0"" AND RESTAURANTalias0.ID = LOCATIONalias0.RESTAURANT_ID AND RESTAURANTalias0.RATING = ( SELECT MAX( RESTAURANTalias1.RATING ) FROM LOCATION AS LOCATIONalias1 , RESTAURANT AS RESTAURANTalias1 WHERE LOCATIONalias1.CITY_NAME = ""city_name0"" AND RESTAURANTalias1.FOOD_TYPE = ""food_type0"" AND RESTAURANTalias1.ID = LOCATIONalias1.RESTAURANT_ID ) ;"
What is the best food_type0 in city_name0 ?,restaurants,"SELECT LOCATIONalias0.HOUSE_NUMBER , RESTAURANTalias0.NAME FROM LOCATION AS LOCATIONalias0 , RESTAURANT AS RESTAURANTalias0 WHERE LOCATIONalias0.CITY_NAME = ""city_name0"" AND RESTAURANTalias0.FOOD_TYPE = ""food_type0"" AND RESTAURANTalias0.ID = LOCATIONalias0.RESTAURANT_ID AND RESTAURANTalias0.RATING = ( SELECT MAX( RESTAURANTalias1.RATING ) FROM LOCATION AS LOCATIONalias1 , RESTAURANT AS RESTAURANTalias1 WHERE LOCATIONalias1.CITY_NAME = ""city_name0"" AND RESTAURANTalias1.FOOD_TYPE = ""food_type0"" AND RESTAURANTalias1.ID = LOCATIONalias1.RESTAURANT_ID ) ;"
What is the best place in city_name0 for food_type0 food ?,restaurants,"SELECT LOCATIONalias0.HOUSE_NUMBER , RESTAURANTalias0.NAME FROM LOCATION AS LOCATIONalias0 , RESTAURANT AS RESTAURANTalias0 WHERE LOCATIONalias0.CITY_NAME = ""city_name0"" AND RESTAURANTalias0.FOOD_TYPE = ""food_type0"" AND RESTAURANTalias0.ID = LOCATIONalias0.RESTAURANT_ID AND RESTAURANTalias0.RATING = ( SELECT MAX( RESTAURANTalias1.RATING ) FROM LOCATION AS LOCATIONalias1 , RESTAURANT AS RESTAURANTalias1 WHERE LOCATIONalias1.CITY_NAME = ""city_name0"" AND RESTAURANTalias1.FOOD_TYPE = ""food_type0"" AND RESTAURANTalias1.ID = LOCATIONalias1.RESTAURANT_ID ) ;"
Give me the best place in city_name0 for food_type0 food ?,restaurants,"SELECT LOCATIONalias0.HOUSE_NUMBER , RESTAURANTalias0.NAME FROM LOCATION AS LOCATIONalias0 , RESTAURANT AS RESTAURANTalias0 WHERE LOCATIONalias0.CITY_NAME = ""city_name0"" AND RESTAURANTalias0.FOOD_TYPE = ""food_type0"" AND RESTAURANTalias0.ID = LOCATIONalias0.RESTAURANT_ID AND RESTAURANTalias0.RATING = ( SELECT MAX( RESTAURANTalias1.RATING ) FROM LOCATION AS LOCATIONalias1 , RESTAURANT AS RESTAURANTalias1 WHERE LOCATIONalias1.CITY_NAME = ""city_name0"" AND RESTAURANTalias1.FOOD_TYPE = ""food_type0"" AND RESTAURANTalias1.ID = LOCATIONalias1.RESTAURANT_ID ) ;"
Where is the best food_type0 in city_name0 ?,restaurants,"SELECT LOCATIONalias0.HOUSE_NUMBER , RESTAURANTalias0.NAME FROM LOCATION AS LOCATIONalias0 , RESTAURANT AS RESTAURANTalias0 WHERE LOCATIONalias0.CITY_NAME = ""city_name0"" AND RESTAURANTalias0.FOOD_TYPE = ""food_type0"" AND RESTAURANTalias0.ID = LOCATIONalias0.RESTAURANT_ID AND RESTAURANTalias0.RATING = ( SELECT MAX( RESTAURANTalias1.RATING ) FROM LOCATION AS LOCATIONalias1 , RESTAURANT AS RESTAURANTalias1 WHERE LOCATIONalias1.CITY_NAME = ""city_name0"" AND RESTAURANTalias1.FOOD_TYPE = ""food_type0"" AND RESTAURANTalias1.ID = LOCATIONalias1.RESTAURANT_ID ) ;"
Give me the best food_type0 in city_name0 ?,restaurants,"SELECT LOCATIONalias0.HOUSE_NUMBER , RESTAURANTalias0.NAME FROM LOCATION AS LOCATIONalias0 , RESTAURANT AS RESTAURANTalias0 WHERE LOCATIONalias0.CITY_NAME = ""city_name0"" AND RESTAURANTalias0.FOOD_TYPE = ""food_type0"" AND RESTAURANTalias0.ID = LOCATIONalias0.RESTAURANT_ID AND RESTAURANTalias0.RATING = ( SELECT MAX( RESTAURANTalias1.RATING ) FROM LOCATION AS LOCATIONalias1 , RESTAURANT AS RESTAURANTalias1 WHERE LOCATIONalias1.CITY_NAME = ""city_name0"" AND RESTAURANTalias1.FOOD_TYPE = ""food_type0"" AND RESTAURANTalias1.ID = LOCATIONalias1.RESTAURANT_ID ) ;"
Where is the best food_type0 restaurant in city_name0 ?,restaurants,"SELECT LOCATIONalias0.HOUSE_NUMBER , RESTAURANTalias0.NAME FROM LOCATION AS LOCATIONalias0 , RESTAURANT AS RESTAURANTalias0 WHERE LOCATIONalias0.CITY_NAME = ""city_name0"" AND RESTAURANTalias0.FOOD_TYPE = ""food_type0"" AND RESTAURANTalias0.ID = LOCATIONalias0.RESTAURANT_ID AND RESTAURANTalias0.RATING = ( SELECT MAX( RESTAURANTalias1.RATING ) FROM LOCATION AS LOCATIONalias1 , RESTAURANT AS RESTAURANTalias1 WHERE LOCATIONalias1.CITY_NAME = ""city_name0"" AND RESTAURANTalias1.FOOD_TYPE = ""food_type0"" AND RESTAURANTalias1.ID = LOCATIONalias1.RESTAURANT_ID ) ;"
Give me the best restaurant in city_name0 for food_type0 food ?,restaurants,"SELECT LOCATIONalias0.HOUSE_NUMBER , RESTAURANTalias0.NAME FROM LOCATION AS LOCATIONalias0 , RESTAURANT AS RESTAURANTalias0 WHERE LOCATIONalias0.CITY_NAME = ""city_name0"" AND RESTAURANTalias0.FOOD_TYPE = ""food_type0"" AND RESTAURANTalias0.ID = LOCATIONalias0.RESTAURANT_ID AND RESTAURANTalias0.RATING = ( SELECT MAX( RESTAURANTalias1.RATING ) FROM LOCATION AS LOCATIONalias1 , RESTAURANT AS RESTAURANTalias1 WHERE LOCATIONalias1.CITY_NAME = ""city_name0"" AND RESTAURANTalias1.FOOD_TYPE = ""food_type0"" AND RESTAURANTalias1.ID = LOCATIONalias1.RESTAURANT_ID ) ;"
Give me the best food_type0 restaurant in city_name0 ?,restaurants,"SELECT LOCATIONalias0.HOUSE_NUMBER , RESTAURANTalias0.NAME FROM LOCATION AS LOCATIONalias0 , RESTAURANT AS RESTAURANTalias0 WHERE LOCATIONalias0.CITY_NAME = ""city_name0"" AND RESTAURANTalias0.FOOD_TYPE = ""food_type0"" AND RESTAURANTalias0.ID = LOCATIONalias0.RESTAURANT_ID AND RESTAURANTalias0.RATING = ( SELECT MAX( RESTAURANTalias1.RATING ) FROM LOCATION AS LOCATIONalias1 , RESTAURANT AS RESTAURANTalias1 WHERE LOCATIONalias1.CITY_NAME = ""city_name0"" AND RESTAURANTalias1.FOOD_TYPE = ""food_type0"" AND RESTAURANTalias1.ID = LOCATIONalias1.RESTAURANT_ID ) ;"
What is the best restaurant in city_name0 for food_type0 food ?,restaurants,"SELECT LOCATIONalias0.HOUSE_NUMBER , RESTAURANTalias0.NAME FROM LOCATION AS LOCATIONalias0 , RESTAURANT AS RESTAURANTalias0 WHERE LOCATIONalias0.CITY_NAME = ""city_name0"" AND RESTAURANTalias0.FOOD_TYPE = ""food_type0"" AND RESTAURANTalias0.ID = LOCATIONalias0.RESTAURANT_ID AND RESTAURANTalias0.RATING = ( SELECT MAX( RESTAURANTalias1.RATING ) FROM LOCATION AS LOCATIONalias1 , RESTAURANT AS RESTAURANTalias1 WHERE LOCATIONalias1.CITY_NAME = ""city_name0"" AND RESTAURANTalias1.FOOD_TYPE = ""food_type0"" AND RESTAURANTalias1.ID = LOCATIONalias1.RESTAURANT_ID ) ;"
Where is the best restaurant in city_name0 for food_type0 food ?,restaurants,"SELECT LOCATIONalias0.HOUSE_NUMBER , RESTAURANTalias0.NAME FROM LOCATION AS LOCATIONalias0 , RESTAURANT AS RESTAURANTalias0 WHERE LOCATIONalias0.CITY_NAME = ""city_name0"" AND RESTAURANTalias0.FOOD_TYPE = ""food_type0"" AND RESTAURANTalias0.ID = LOCATIONalias0.RESTAURANT_ID AND RESTAURANTalias0.RATING = ( SELECT MAX( RESTAURANTalias1.RATING ) FROM LOCATION AS LOCATIONalias1 , RESTAURANT AS RESTAURANTalias1 WHERE LOCATIONalias1.CITY_NAME = ""city_name0"" AND RESTAURANTalias1.FOOD_TYPE = ""food_type0"" AND RESTAURANTalias1.ID = LOCATIONalias1.RESTAURANT_ID ) ;"
what is the best food_type0 restaurant in city_name0 ?,restaurants,"SELECT LOCATIONalias0.HOUSE_NUMBER , RESTAURANTalias0.NAME FROM LOCATION AS LOCATIONalias0 , RESTAURANT AS RESTAURANTalias0 WHERE LOCATIONalias0.CITY_NAME = ""city_name0"" AND RESTAURANTalias0.FOOD_TYPE = ""food_type0"" AND RESTAURANTalias0.ID = LOCATIONalias0.RESTAURANT_ID AND RESTAURANTalias0.RATING = ( SELECT MAX( RESTAURANTalias1.RATING ) FROM LOCATION AS LOCATIONalias1 , RESTAURANT AS RESTAURANTalias1 WHERE LOCATIONalias1.CITY_NAME = ""city_name0"" AND RESTAURANTalias1.FOOD_TYPE = ""food_type0"" AND RESTAURANTalias1.ID = LOCATIONalias1.RESTAURANT_ID ) ;"
What is the best food_type0 in city_name0 ?,restaurants,"SELECT LOCATIONalias0.HOUSE_NUMBER , RESTAURANTalias0.NAME FROM LOCATION AS LOCATIONalias0 , RESTAURANT AS RESTAURANTalias0 WHERE LOCATIONalias0.CITY_NAME = ""city_name0"" AND RESTAURANTalias0.FOOD_TYPE = ""food_type0"" AND RESTAURANTalias0.ID = LOCATIONalias0.RESTAURANT_ID AND RESTAURANTalias0.RATING = ( SELECT MAX( RESTAURANTalias1.RATING ) FROM LOCATION AS LOCATIONalias1 , RESTAURANT AS RESTAURANTalias1 WHERE LOCATIONalias1.CITY_NAME = ""city_name0"" AND RESTAURANTalias1.FOOD_TYPE = ""food_type0"" AND RESTAURANTalias1.ID = LOCATIONalias1.RESTAURANT_ID ) ;"
